timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-06-01T00:00:00+00:00,4.0,82.56,0.0,0.08,57.6,0.44,31.7,119.02,0.0
2025-06-01T01:00:00+00:00,4.0,83.28,0.0,0.08,58.8,0.46,33.48,122.17,0.0
2025-06-01T02:00:00+00:00,4.0,84.3,0.0,0.09,61.13,0.47,35.74,125.89,0.0
2025-06-01T03:00:00+00:00,4.0,86.11,0.01,0.09,63.78,0.47,38.4,129.82,0.0
2025-06-01T04:00:00+00:00,4.0,87.57,0.01,0.08,65.87,0.47,40.95,133.41,0.0
2025-06-01T05:00:00+00:00,4.0,88.63,0.01,0.06,66.46,0.46,42.82,135.78,0.0
2025-06-01T06:00:00+00:00,4.0,88.74,0.01,0.05,65.47,0.45,43.74,137.14,0.0
2025-06-01T07:00:00+00:00,4.0,88.25,0.01,0.05,63.44,0.44,43.83,137.85,0.0
2025-06-01T08:00:00+00:00,4.0,87.26,0.01,0.04,60.59,0.44,43.38,137.58,0.0
2025-06-01T09:00:00+00:00,4.0,86.16,0.01,0.04,57.36,0.44,42.7,136.82,0.0
2025-06-01T10:00:00+00:00,4.0,85.04,0.01,0.04,54.26,0.44,42.1,136.16,0.0
2025-06-01T11:00:00+00:00,4.0,83.49,0.01,0.05,51.3,0.44,41.19,134.25,0.0
2025-06-01T12:00:00+00:00,4.0,82.32,0.01,0.05,49.76,0.45,40.06,132.76,0.0
2025-06-01T13:00:00+00:00,4.0,81.73,0.01,0.06,49.91,0.45,38.9,132.88,0.0
2025-06-01T14:00:00+00:00,4.0,81.43,0.0,0.08,51.19,0.45,37.63,133.8,0.0
2025-06-01T15:00:00+00:00,4.0,81.17,0.0,0.09,52.43,0.45,36.38,133.84,0.0
2025-06-01T16:00:00+00:00,4.0,80.82,0.0,0.08,52.92,0.47,35.23,132.81,0.0
2025-06-01T17:00:00+00:00,4.0,80.4,0.0,0.08,52.9,0.49,34.3,131.27,0.0
2025-06-01T18:00:00+00:00,4.0,79.94,0.0,0.08,52.7,0.51,33.53,130.29,0.0
2025-06-01T19:00:00+00:00,4.0,79.23,0.0,0.09,52.27,0.53,32.87,129.77,0.0
2025-06-01T20:00:00+00:00,4.0,78.65,0.0,0.09,51.65,0.55,32.51,129.69,0.0
2025-06-01T21:00:00+00:00,4.0,78.52,0.0,0.09,51.01,0.57,32.45,129.32,0.0
2025-06-01T22:00:00+00:00,4.0,78.89,0.0,0.09,50.99,0.58,32.83,129.98,0.0
2025-06-01T23:00:00+00:00,4.0,79.59,0.0,0.09,51.56,0.58,33.44,130.97,0.0
2025-06-02T00:00:00+00:00,4.0,80.49,0.0,0.09,52.61,0.57,34.34,132.69,0.0
2025-06-02T01:00:00+00:00,4.0,81.46,0.0,0.09,54.0,0.56,35.45,135.67,0.0
